teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities,library_facilities.1,extracurricular,extracurricular.1
1,Good,1,Good,1,Good,1,Good,1,Hardworking,1,Good
1,Good ,1,Very good,1,Excellent ,1,Good,1,Good,1,Good
1,As compared to other colleges and university our university is perfect in all the aspects,-1,Material of the course is not good enough ,1,Good,1,Practical work is fair,1,Excellent,1,Great job
1,Good,-1,sometimes proper course material is not required.,1,Good,1,Good,1,Good,1,excellent
1,Lectures helps in clear our concept,1,Easily available course material with sufficient knowledge gaining,1,Good marks distribution Students can easily check there performance throught the semester,1,Practical and easy learning,1,Good,1,Its give various opportunities and exposure
0,"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",1,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",0,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",-1,"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",0,Again some of the faculties don't know how to behave otherwise it is good.,0,This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.
1,"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. ",1,The course notes are very knowledgeable and proper.,1,Descent.,1,Good.,1,Descent.,1,Good.
1,Good,1,Good,1,Excellect,1,Good,1,Good,1,Good
1,Good,1,Good,1,Excellect,1,Good,1,Good,1,Good
1,lecturer are punctual and can interact them easily.,1,content of the courses are update and mostly based on current technology.,1,exam pattern and marks distribution is very well procedure,1,well and good infrastructure and have trending software in lab    ,1,library is very well managed and provide needed facilities to us,1,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.
1,Good,-1,Needs some improvement,1,Good,1,Good,-1,Its required some libral in rules,1,Good it provides a great platform
1,Good,1,Good,0,Average,0,Average,1,They are doing there job well,1,Good
0,Punctuality is good. Most of the teachers are not interacting with students .,-1,Teachers are not giving depth of course . They trying to cover there work only .,1,It is statisfactory.,-1,3 hours practical is so long. It should be of 2 hours only ,-1,"Well... all the books are not avilable . If they are in library , books are in less number and strength of student are large.",1,They are really very intersting. All the students enjoys alot and get a chance to showcase there talent
1,Good,1,Good,1,Good,1,Good,1,Good,1,Good
1,nice,1,good,-1,not so good,1,ok ok,-1,all books are not available,1,Awesome
-1,lecture delivery is not so good,1,every thing is fine,1,all good,-1,practicle must be of 2 hours,-1,the system in library usually does not work . so it creates a problem for us to issue the book,1,its good for refreshment 
1,It's good,1,It's appreciable,-1,"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",1,"It's good 
Also depends on teacher's knowledge and student's interest",-1,"Sometimes only book is available for some subjects
And it is reserved",1,"It's appreciable
Students who are having interest in co curricular activities, getting a good platform"
1,"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",1,Satisfied,0,All are good except paper checking. It should be improved,1,All good,1,Its very helpful,1,All good
0,"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",-1,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,1,Overall all these things are the plus point of the university,0,Average ,1,"Awesome, peaceful, relaxing atmosphere",0,Good but lacks audience.....as only participants can see these activities on duty leave basis
1,Perfect,1,Awesome,1,Notbad,-1,Too much lanlb file work,-1,All books are not available,1,Perfect
1,It is really gud,1,It is proper,1,It is very gud,0,Evaluation method is gud.But the content is more to write in file,-1,I think number of books are very less according to the students .Only 2-3 copies are available.,1,All the activities are gud and appropriate for students
